4,0,128.09,65,56.7745,5.07194,2.10723,14.2593,4.74369,4.42,26.21,2,2.5,3,0.9,27.369
4,1,102.111,54,47.3678,3.86829,1.90814,15.5756,4.3364,1.83,13.86,2,2.5,3,0.9,15.3073
4,2,87.1548,47,40.0317,4.79153,1.48196,17.2429,6.35571,4.71,11.39,2,2.5,3,0.9,14.573
4,3,67.0538,39,34.7469,2.57976,1.071,18.027,3.94238,8.07,11.47,2,2.5,3,0.9,15.241
4,4,153.725,98,87.6954,6.43107,2.40151,11.312,3.89405,1.27,5.64,2,2.5,3,0.9,8.28529
4,5,50.6366,39,34.4201,3.20193,0.798871,18.1631,4.93963,3.12,9.34,2,2.5,3,0.9,11.8924
5,0,141.416,77,68.8474,4.8045,2.10033,12.7878,3.70557,1,17.33,2,2.5,3,0.9,18.3063
5,1,97.037,57,50.8786,3.2651,1.92759,14.8857,3.40766,1.12,7.93,2,2.5,3,0.9,9.78833
5,2,63.1208,41,35.5503,3.34238,1.47685,18.0934,4.99237,7.64,8.93,2,2.5,3,0.9,13.5314
5,3,61.1388,37,33.2526,1.9571,1.2021,18.3386,3.12522,3.16,4.37,2,2.5,3,0.9,7.67525
5,4,147.383,100,90.5239,5.24751,2.65768,11.0675,3.07811,3.79,10.66,2,2.5,3,0.9,12.5513
5,5,46.8048,38,34.0269,2.49475,0.889963,18.1372,3.89313,2.81,5.66,2,2.5,3,0.9,8.6688
6,0,123.399,66,60.2549,2.07753,2.57368,13.5132,1.83084,3.38,5.13,2,2.5,3,0.9,7.82006
6,1,71.2825,38,33.8437,1.09812,2.46515,18.2739,1.72293,0.83,2.72,2,2.5,3,0.9,5.57815
6,2,86.1901,47,42.6321,1.93293,1.69456,16.1192,2.40754,1.85,6.21,2,2.5,3,0.9,8.23668
6,3,53.6937,30,27.3958,0.800531,1.33963,20.033,1.55163,3.33,8.46,2,2.5,3,0.9,10.2532
6,4,178.518,109,101.563,2.88553,2.84258,10.2926,1.50864,0.9,3.81,2,2.5,3,0.9,6.13695
6,5,38.0688,29,26.5974,0.960478,0.995152,20.2755,1.91754,1.63,12.63,2,2.5,3,0.9,13.6349
7,0,98.211,43,39.4811,0.944709,1.88551,16.6454,1.27058,0.62,4.21,2,2.5,3,0.9,6.30737
7,1,47.1623,24,21.4588,0.484066,1.67762,22.9012,1.19783,6.57,14.27,2,2.5,3,0.9,16.3796
7,2,56.0025,28,25.5281,0.803716,1.24945,20.7717,1.67178,4.46,3.02,2,2.5,3,0.9,7.20186
7,3,48.3577,25,23.1392,0.465611,1.00975,21.6464,1.06849,3.54,7.15,2,2.5,3,0.9,9.21172
7,4,118.327,66,61.7608,1.21947,2.00514,13.1704,1.04846,0.89,6.49,2,2.5,3,0.9,8.00447
7,5,26.5157,18,16.6458,0.416091,0.66085,25.5225,1.32733,2.94,5.17,2,2.5,3,0.9,7.56269
8,0,96.4484,30,26.906,0.979639,1.60343,20.4064,1.93335,4.16,5.46,2,2.5,3,0.9,8.42111
8,1,79.9299,29,26.3624,0.869374,1.28671,20.4644,1.75112,2.61,8.5,2,2.5,3,0.9,10.1088
8,2,51.7265,22,19.5227,0.938604,1.21164,24.0904,2.55292,2,14.2,2,2.5,3,0.9,15.2387
8,3,45.9656,21,19.2606,0.581323,0.830218,23.8299,1.60266,4.43,10.59,2,2.5,3,0.9,12.4258
8,4,114.326,57,52.8547,1.56537,1.66982,14.2999,1.57263,1.82,15.98,2,2.5,3,0.9,16.7692
8,5,30.0682,19,17.5024,0.652806,0.559687,24.9288,1.98053,1.9,7.88,2,2.5,3,0.9,9.47032
